번호,CardId,카드명,코스트,타입,레어도,타겟,기본 효과,강화 효과,강화 차이 요약
1,SHOOT,사격,1,Attack,Basic,AnyEnemy,격발 1회. {Damage:diff()} 피해.,격발 1회. {Damage:diff()} 피해(+3).,수치 증가
2,DEFEND_GUNSLINGER,방어,1,Skill,Basic,Self,{Block:diff()} 방어도를 획득.,{Block:diff()} 방어도를 획득.,동일
3,RELOAD,장전,0,Skill,Common,,일반탄 2발 장전(최대 6).,일반탄 2발 장전(최대 6). 카드 1장 뽑기.,뽑기 추가
4,TAKE_COVER,엄폐,1,Skill,Common,,{Block:diff()} 방어도 획득. 빈 약실마다 방어도 +1. 이번 턴 [재장전 불가].,동일 (수치 증가),수치 증가
5,EVASION,회피,1,Skill,Common,,이번 턴 다음에 받는 피해를 절반으로 만듭니다.,동일 (코스트 감소 1->0),코스트 감소
6,ECHO_NOTE,에코 노트,0,Skill,Common,,각인 1소모. 카드를 1장 뽑기,각인 1소모. 카드를 2장 뽑기,뽑기 증가
7,QUICK_RACK,퀵 랙,1,Attack,Common,AnyEnemy,각인 1소모.  추적탄 2발 장전.사냥개시 상태면 격발 1회,각인 1소모.  추적탄 2발 장전.사냥개시 상태면 격발 2회,격발 증가
8,HOT_CHAMBER,핫 챔버,1,Skill,Common,,각인 1소모.  추적탄 2발 장전.사냥개시 상태면 드로우 2,추적탄 2발 장전.사냥개시 상태면 드로우 2,각인 소모 제거
10,PANNING,패닝,3,Attack,Common,AnyEnemy,장전된 탄환을 순서대로 모두 격발. 격발마다 {Damage:diff()} 피해.,장전된 탄환을 순서대로 모두 격발. 격발마다 {Damage:diff()} 피해. 보존.,보존 추가
11,SPRAY_FIRE,난사,2,Attack,Common,,장전된 탄환을 무작위 적에게 모두 격발. 총 {Damage:diff()} 피해. 격발 수만큼 각인 획득(최대 3).,장전된 탄환을 무작위 적에게 모두 격발. 총 {Damage:diff()} 피해. 격발 수만큼 각인 획득(최대 3).,동일
12,SEAL_LOAD,봉인탄 장전,1,Skill,Common,,봉인탄 1발 장전(최대 1). 이미 장전되어 있으면 봉인 레벨 +1. 방어도 5 획득.,봉인탄 1발 장전(최대 1). 이미 장전되어 있으면 봉인 레벨 +1. 방어도 8 획득.,동일
13,SIGIL_GUARD,시질 가드,1,Skill,Common,Self,8 방어도를 획득. 봉인 레벨당 방어도 +1을 획득.,12 방어도를 획득. 봉인 레벨당 방어도 +1을 획득.,기본 방어도 증가
14,ETCHED_TRACER,에칭 트레이서,0,Skill,Common,,격발 1회. 추적탄 1발 장전.,격발 1회. 추적탄 1발 장전. 카드 1장 뽑기.,뽑기 추가
15,IMPRINT_SQUEEZE,각인 압착,0,Skill,Uncommon,,카드 1장 버림. 각인 2획득.,카드 1장 버림. 각인 3획득.,각인 증가
16,IMPRINT_COMPRESSION,각인 압축,1,Power,Uncommon,,지속: 턴 시작 시 각인이 4 이상이면 카드 1장 뽑기.,지속: 턴 시작 시 각인이 3 이상이면 카드 1장 뽑기.,조건 완화
17,FAN_THE_BRAND,낙인 흩뿌리기,1,Skill,Uncommon,,도탄 스택을 1 획득. 각인 1을 획득.,도탄 스택을 2 획득. 각인 1을 획득.,도탄 증가
18,RICOCHET_SHOT,도탄 사격,3,Skill,Rare,,각인 3소모. 도탄 2스택 다음 사격 카드 코스트 0,(2코스트)각인 3소모. 도탄 2스택 다음 사격 카드 코스트 0,코스트 감소
19,REBOUND_NET,리바운드 넷,1,Skill,Uncommon,,적 1명당 도탄 스택 1획득.,적 1명당 도탄 스택 1획득. (0코스트),0코스트
21,IMPRINT_MANIFEST_RICOCHET,현현: 도탄,2,Skill,Rare,,각인 4소모. 이번 턴 모든 탄환 격발 시 도탄 발동.,각인 3소모. 이번 턴 모든 탄환 격발 시 도탄 발동.,각인 소모 감소
22,TRACER_CONVERSION,추적탄 변환,0,Skill,Uncommon,,일반탄 최대 2발을 추적탄으로 변환.,일반탄 최대 2발을 추적탄으로 변환. 카드 1장 뽑기.,뽑기 추가
23,BALLISTIC_COMPILER,탄도 컴파일러,1,Power,Uncommon,,지속: 매 턴 첫 추적탄 발사 시 카드 1장을 뽑고 각인을 1 획득.,지속: 매 턴 첫 추적탄 발사 시 카드 1장을 뽑고 각인을 2 획득.,각인 증가
24,CHAIN_BURST,체인 버스트,1,Attack,Uncommon,AnyEnemy,각인 2소모. 격발 1회. 사냥개시 상태면 +1회.,각인 2소모. 격발 1회. 사냥개시 상태면 +2회.,격발 및 추가 증가
